date,open,high,low,adjclose,volume
2010-05-30,295.0,301.0,301,301.0,315
2010-05-31,301.0,322.0,305,322.0,300
2010-06-02,322.0,328.0,328,328.0,63
2010-06-03,328.0,334.0,334,334.0,40
2010-06-07,334.0,359.0,340,359.0,115
2010-06-08,359.0,366.0,366,366.0,20
2010-06-09,366.0,380.0,373,380.0,20
2010-06-10,380.0,418.0,387,418.0,110
2010-06-13,418.0,450.0,418,450.0,151
2010-06-14,450.0,459.0,459,459.0,70
2010-06-15,459.0,470.0,460,465.0,449
2010-06-16,465.0,474.0,452,474.0,393
2010-06-17,474.0,483.0,482,483.0,60
2010-06-20,483.0,492.0,489,492.0,193
2010-06-21,492.0,501.0,500,500.0,50
2010-06-22,500.0,510.0,510,510.0,10
2010-06-23,510.0,530.0,520,530.0,80
2010-06-28,530.0,530.0,530,530.0,90
2010-06-30,530.0,520.0,519,519.0,510
2010-07-04,519.0,529.0,529,529.0,63
2010-07-05,529.0,519.0,519,519.0,66
2010-07-07,519.0,509.0,509,509.0,124
2010-07-08,509.0,499.0,490,490.0,200
2010-07-18,490.0,481.0,481,481.0,50
2010-07-19,481.0,472.0,472,472.0,20
2010-07-20,472.0,465.0,465,465.0,30
2010-07-21,465.0,456.0,450,450.0,52
2010-07-22,450.0,450.0,440,448.0,439
2010-07-25,448.0,440.0,440,440.0,101
2010-07-26,440.0,438.0,438,438.0,100
2010-07-28,438.0,446.0,446,446.0,18
2010-08-03,446.0,440.0,438,440.0,294
2010-08-05,440.0,456.0,448,456.0,70
2010-08-10,456.0,450.0,450,450.0,80
2010-08-11,450.0,445.0,442,442.0,50
2010-08-16,442.0,435.0,435,435.0,63
2010-08-29,435.0,435.0,435,435.0,33
2010-09-02,435.0,430.0,430,430.0,20
2010-09-12,430.0,446.0,438,446.0,126
2010-09-13,446.0,460.0,454,460.0,67
2010-09-14,460.0,469.0,460,469.0,130
2010-09-21,469.0,475.0,475,475.0,123
2010-09-23,475.0,466.0,466,466.0,24
2010-09-26,466.0,466.0,466,466.0,63
2010-09-27,466.0,475.0,475,475.0,231
2010-09-30,475.0,475.0,475,475.0,20
2010-10-03,475.0,466.0,466,466.0,210
2010-11-14,466.0,317.0,317,317.0,21
2010-11-23,317.0,311.0,311,311.0,21
2011-03-31,311.0,245.0,245,245.0,21
2011-04-28,245.0,245.0,245,245.0,600
2011-05-08,245.0,241.0,241,241.0,105
2011-05-12,241.0,237.0,237,237.0,189
2011-05-15,237.0,241.0,238,238.0,38
2011-05-18,238.0,237.0,237,237.0,210
2011-06-02,237.0,233.0,233,233.0,60
2011-07-05,233.0,256.0,244,256.0,117
2011-07-07,256.0,261.0,261,261.0,300
2011-07-19,261.0,287.0,266,287.0,1004
2011-07-20,287.0,308.0,292,308.0,456
2011-07-21,308.0,314.0,314,314.0,21
2011-07-24,314.0,309.0,303,303.0,187
2011-07-27,303.0,309.0,309,309.0,94
2011-07-28,309.0,315.0,315,315.0,238
2011-07-31,315.0,309.0,309,309.0,42
2011-08-03,309.0,309.0,309,309.0,922
2011-08-04,309.0,308.0,308,308.0,625
2011-08-07,308.0,303.0,302,303.0,178
2011-08-08,303.0,309.0,309,309.0,94
2011-08-09,309.0,309.0,309,309.0,250
2011-08-10,309.0,310.0,309,310.0,233
2011-08-11,310.0,340.0,316,340.0,151
2011-08-15,340.0,359.0,346,359.0,56
2011-08-16,359.0,355.0,355,355.0,42
2011-08-17,355.0,369.0,362,369.0,24
2011-08-18,369.0,384.0,370,380.0,985
2011-08-22,380.0,387.0,380,380.0,194
2011-08-23,380.0,382.0,375,382.0,38
2011-09-01,382.0,375.0,375,375.0,51
2011-09-27,375.0,368.0,361,361.0,102
2011-10-10,361.0,365.0,361,365.0,48
2011-10-18,365.0,370.0,370,370.0,210
2011-11-06,370.0,375.0,375,375.0,51
2011-11-09,375.0,368.0,361,361.0,188
2011-11-17,361.0,360.0,360,360.0,20
2011-12-14,360.0,353.0,353,353.0,10
2011-12-18,353.0,346.0,340,340.0,41
2011-12-28,340.0,346.0,346,346.0,106
2012-01-05,346.0,340.0,340,340.0,20
2012-01-11,340.0,334.0,328,328.0,30
2012-01-19,328.0,322.0,322,322.0,21
2012-01-25,322.0,323.0,323,323.0,977
2012-02-06,323.0,320.0,320,320.0,20
2012-02-08,320.0,326.0,326,326.0,158
2012-02-16,326.0,320.0,314,314.0,138
2012-02-23,314.0,309.0,297,297.0,50
2012-02-28,297.0,292.0,277,277.0,178
2012-02-29,277.0,282.0,282,282.0,82
2012-03-01,282.0,277.0,254,254.0,1795
2012-03-04,254.0,249.0,249,249.0,126
2012-03-05,249.0,246.0,242,242.0,31
2012-03-20,242.0,246.0,246,246.0,158
2012-03-25,246.0,250.0,250,250.0,157
2012-03-28,250.0,251.0,251,251.0,84
2012-04-08,251.0,256.0,256,256.0,110
2012-04-12,256.0,253.0,253,253.0,476
2012-04-26,253.0,258.0,258,258.0,2175
2012-05-14,258.0,273.0,263,273.0,1927
2012-05-17,273.0,293.0,278,293.0,288
2012-05-24,293.0,288.0,288,288.0,319
2012-06-07,288.0,293.0,293,293.0,472
2012-06-12,293.0,288.0,283,283.0,658
2012-06-17,283.0,288.0,288,288.0,420
2012-07-01,288.0,286.0,286,286.0,157
2012-07-11,286.0,314.0,291,314.0,1141
2012-07-17,314.0,345.0,320,345.0,160
2012-07-18,345.0,379.0,351,379.0,443
2012-07-19,379.0,400.0,379,379.0,906
2012-07-23,379.0,375.0,374,374.0,58
2012-07-24,374.0,395.0,381,395.0,644
2012-07-26,395.0,388.0,388,388.0,16
2012-07-31,388.0,388.0,381,388.0,1437
2012-08-01,388.0,402.0,395,396.0,64
2012-08-06,396.0,389.0,389,389.0,100
2012-08-13,389.0,390.0,390,390.0,525
2012-08-16,390.0,396.0,385,385.0,210
2012-08-19,385.0,378.0,371,371.0,380
2012-08-28,371.0,364.0,364,364.0,10
2012-08-29,364.0,373.0,340,373.0,435
2012-08-30,373.0,376.0,369,375.0,1755
2012-09-02,375.0,382.0,382,382.0,21
2012-09-03,382.0,376.0,376,376.0,796
2012-09-04,376.0,384.0,377,377.0,344
2012-09-05,377.0,384.0,384,384.0,42
2012-09-06,384.0,384.0,377,377.0,880
2012-09-09,377.0,375.0,375,375.0,420
2012-09-10,375.0,373.0,368,373.0,2000
2012-09-11,373.0,372.0,372,372.0,1000
2012-09-12,372.0,380.0,374,380.0,230
2012-09-16,380.0,418.0,380,418.0,2184
2012-09-17,418.0,450.0,426,440.0,891
2012-09-18,440.0,433.0,415,422.0,1457
2012-09-19,422.0,430.0,422,422.0,50
2012-09-20,422.0,430.0,422,424.0,563
2012-09-23,424.0,416.0,416,416.0,261
2012-09-24,416.0,408.0,402,402.0,618
2012-09-25,402.0,405.0,405,405.0,50
2012-09-26,405.0,413.0,412,413.0,370
2012-09-27,413.0,416.0,411,416.0,107
2012-09-30,416.0,420.0,420,420.0,100
2012-10-03,420.0,428.0,428,428.0,26
2012-10-08,428.0,425.0,417,417.0,377
2012-10-09,417.0,425.0,425,425.0,21
2012-10-10,425.0,441.0,432,441.0,304
2012-10-30,441.0,474.0,449,474.0,69
2012-11-01,474.0,471.0,452,452.0,1494
2012-11-04,452.0,456.0,451,456.0,1002
2012-11-05,456.0,465.0,460,460.0,730
2012-11-06,460.0,487.0,469,478.0,288
2012-11-07,478.0,472.0,471,472.0,155
2012-11-08,472.0,479.0,470,475.0,1779
2012-11-11,475.0,474.0,470,474.0,494
2012-11-12,474.0,475.0,470,470.0,184
2012-11-20,470.0,478.0,475,476.0,780
2012-11-21,476.0,485.0,484,485.0,140
2012-11-22,485.0,499.0,476,497.0,1027
2012-11-25,497.0,493.0,493,493.0,20
2012-12-11,493.0,391.0,391,391.0,100
2012-12-13,391.0,405.0,398,405.0,100
2012-12-16,405.0,421.0,405,421.0,255
2012-12-17,421.0,421.0,421,421.0,53
2012-12-20,421.0,437.0,429,437.0,40
2012-12-24,437.0,430.0,430,430.0,48
2013-01-13,430.0,443.0,425,425.0,4934
2013-01-17,425.0,417.0,401,401.0,30
2013-01-21,401.0,400.0,393,400.0,77
2013-01-22,400.0,400.0,400,400.0,10
2013-01-23,400.0,407.0,407,407.0,12
2013-01-24,407.0,400.0,393,393.0,760
2013-01-27,393.0,391.0,383,383.0,112
2013-01-28,383.0,396.0,389,390.0,158
2013-01-30,390.0,383.0,376,383.0,41
2013-01-31,383.0,380.0,375,375.0,133
2013-02-03,375.0,387.0,380,387.0,531
2013-02-05,387.0,388.0,381,388.0,265
2013-02-07,388.0,390.0,390,390.0,150
2013-02-13,390.0,397.0,396,397.0,136
2013-02-14,397.0,400.0,395,400.0,84
2013-02-17,400.0,408.0,408,408.0,52
2013-02-21,408.0,423.0,407,407.0,94
2013-02-24,407.0,399.0,390,390.0,41
2013-02-25,390.0,383.0,380,380.0,110
2013-02-26,380.0,387.0,387,387.0,273
2013-02-27,387.0,394.0,394,394.0,42
2013-03-05,394.0,390.0,390,390.0,95
2013-03-07,390.0,400.0,393,400.0,186
2013-03-11,400.0,400.0,400,400.0,392
2013-03-13,400.0,392.0,392,392.0,10
2013-03-18,392.0,399.0,399,399.0,94
2013-03-19,399.0,392.0,378,378.0,30
2013-03-21,371.0,365.0,365,365.0,10
2013-03-24,365.0,358.0,358,358.0,10
2013-03-27,358.0,367.0,345,367.0,4799
2013-03-31,367.0,360.0,360,360.0,1850
2013-04-01,360.0,353.0,353,353.0,2504
2013-04-02,353.0,346.0,345,345.0,3301
2013-04-03,345.0,351.0,351,351.0,2029
2013-04-04,351.0,358.0,358,358.0,2000
2013-04-07,358.0,360.0,360,360.0,2000
2013-04-08,360.0,375.0,355,375.0,2168
2013-04-09,375.0,382.0,382,382.0,2000
2013-04-11,382.0,387.0,380,387.0,1615
2013-04-15,387.0,401.0,380,401.0,614
2013-04-16,401.0,393.0,386,386.0,20
2013-04-18,386.0,380.0,380,380.0,119
2013-04-21,380.0,387.0,387,387.0,94
2013-04-22,387.0,400.0,394,400.0,195
2013-04-23,400.0,408.0,395,395.0,514
2013-04-25,395.0,402.0,401,402.0,3099
2013-04-28,402.0,402.0,398,402.0,4008
2013-04-29,402.0,403.0,395,400.0,5803
2013-04-30,400.0,401.0,400,400.0,1004
2013-05-06,400.0,407.0,407,407.0,200
2013-05-07,407.0,431.0,415,431.0,1210
2013-05-08,431.0,428.0,426,426.0,200
2013-05-09,426.0,432.0,424,432.0,160
2013-05-12,432.0,424.0,420,420.0,147
2013-05-13,420.0,412.0,412,412.0,556
2013-05-19,412.0,420.0,420,420.0,200
2013-05-20,420.0,428.0,428,428.0,10
2013-05-21,428.0,428.0,428,428.0,158
2013-05-22,428.0,433.0,433,433.0,20
2013-05-23,433.0,476.0,435,476.0,447
2013-05-27,476.0,494.0,485,494.0,22
2013-05-30,494.0,503.0,503,503.0,12
2013-06-03,503.0,493.0,457,457.0,298
2013-06-04,457.0,455.0,444,444.0,1169
2013-06-05,444.0,455.0,450,455.0,2657
2013-06-09,455.0,450.0,447,447.0,653
2013-06-12,447.0,445.0,445,445.0,195
2013-06-17,445.0,440.0,437,437.0,317
2013-06-19,437.0,437.0,437,437.0,53
2013-06-26,437.0,435.0,435,435.0,42
2013-06-27,435.0,430.0,430,430.0,525
2013-06-30,430.0,434.0,430,430.0,699
2013-07-03,430.0,446.0,430,446.0,589
2013-07-04,446.0,461.0,452,461.0,22
2013-07-07,461.0,498.0,470,498.0,2017
2013-07-08,498.0,498.0,489,498.0,51
2013-07-09,498.0,527.0,507,527.0,32
2013-07-10,527.0,536.0,526,536.0,61
2013-07-11,536.0,546.0,546,546.0,11
2013-07-14,546.0,556.0,556,556.0,10
2013-07-15,556.0,554.0,501,511.0,1549
2013-07-16,511.0,501.0,501,501.0,220
2013-07-17,501.0,500.0,500,500.0,100
2013-07-18,500.0,499.0,490,490.0,111
2013-07-21,490.0,518.0,499,518.0,31
2013-07-22,518.0,528.0,518,518.0,130
2013-07-23,518.0,508.0,498,500.0,167
2013-07-24,500.0,520.0,510,520.0,23
2013-07-25,520.0,510.0,500,500.0,300
2013-07-28,500.0,505.0,500,500.0,921
2013-07-29,500.0,510.0,510,510.0,100
2013-07-30,510.0,505.0,477,478.0,7251
2013-07-31,478.0,495.0,481,481.0,3694
2013-08-01,481.0,495.0,490,495.0,1538
2013-08-04,495.0,507.0,504,505.0,1074
2013-08-05,505.0,495.0,495,495.0,40
2013-08-06,495.0,504.0,504,504.0,31
2013-08-07,504.0,515.0,505,515.0,208
2013-08-08,515.0,505.0,505,505.0,84
2013-08-11,505.0,550.0,507,550.0,788
2013-08-12,550.0,605.0,561,602.0,1057
2013-08-13,602.0,615.0,605,605.0,432
2013-08-14,605.0,600.0,593,599.0,575
2013-08-15,599.0,646.0,610,646.0,73
2013-08-18,646.0,634.0,590,608.0,4415
2013-08-19,608.0,630.0,604,630.0,196
2013-08-20,630.0,630.0,620,630.0,597
2013-08-25,630.0,642.0,618,642.0,156
2013-08-26,642.0,663.0,637,637.0,829
2013-08-27,637.0,648.0,625,648.0,600
2013-08-29,648.0,650.0,645,650.0,404
2013-09-01,650.0,676.0,663,676.0,40
2013-09-02,676.0,695.0,689,695.0,60
2013-09-03,695.0,708.0,642,642.0,4040
2013-09-04,642.0,640.0,632,636.0,2204
2013-09-05,636.0,645.0,640,641.0,826
2013-09-09,641.0,679.0,653,679.0,30
2013-09-10,679.0,746.0,692,746.0,774
2013-09-11,746.0,789.0,760,789.0,62
2013-09-12,789.0,790.0,760,760.0,237
2013-09-16,760.0,745.0,745,745.0,100
2013-09-17,745.0,731.0,689,689.0,232
2013-09-19,689.0,676.0,663,663.0,261
2013-09-22,663.0,650.0,650,650.0,100
2013-09-23,650.0,659.0,641,641.0,1088
2013-09-24,641.0,630.0,629,629.0,190
2013-09-25,629.0,659.0,620,659.0,317
2013-09-26,659.0,646.0,615,627.0,983
2013-09-29,627.0,630.0,620,625.0,1948
2013-09-30,625.0,630.0,624,630.0,791
2013-10-01,630.0,654.0,630,654.0,347
2013-10-02,654.0,649.0,649,649.0,90
2013-10-03,649.0,652.0,640,652.0,136
2013-10-06,652.0,639.0,627,639.0,156
2013-10-07,639.0,689.0,651,689.0,53
2013-10-08,689.0,695.0,695,695.0,125
2013-10-09,695.0,700.0,700,700.0,536
2013-10-20,700.0,700.0,700,700.0,32
2013-10-23,700.0,700.0,674,674.0,1027
2013-10-24,674.0,665.0,665,665.0,100
2013-10-27,665.0,652.0,652,652.0,58
2013-10-29,652.0,650.0,638,641.0,3876
2013-10-31,641.0,653.0,653,653.0,100
2013-11-06,653.0,670.0,660,665.0,1730
2013-11-07,665.0,675.0,669,670.0,482
2013-11-12,670.0,696.0,683,694.0,651
2013-11-13,694.0,700.0,690,700.0,620
2013-11-14,700.0,714.0,700,700.0,289
2013-11-21,700.0,728.0,714,728.0,231
2013-11-24,728.0,742.0,740,740.0,294
2013-11-25,740.0,769.0,754,769.0,143
2013-11-26,769.0,784.0,745,745.0,905
2013-11-27,745.0,759.0,745,745.0,290
2013-11-28,745.0,745.0,745,745.0,100
2013-12-01,745.0,819.0,759,803.0,705
2013-12-02,803.0,883.0,803,883.0,5082
2013-12-03,883.0,970.0,900,946.0,7448
2013-12-04,946.0,983.0,964,980.0,951
2013-12-05,980.0,1018.0,971,971.0,724
2013-12-09,971.0,743.0,715,715.0,1277
2013-12-10,715.0,701.0,701,701.0,107
2013-12-15,701.0,687.0,687,687.0,125
2013-12-16,687.0,700.0,700,700.0,78
2013-12-22,700.0,714.0,714,714.0,252
2013-12-23,714.0,714.0,700,714.0,508
2013-12-24,714.0,715.0,700,715.0,481
2013-12-29,715.0,701.0,700,700.0,497
